0.368,0.201,-2.137,-0.078,-0.319,0.168,283.309,1144.705,-692.350,-32.473,1.278,-28.553,0.003
0.367,0.200,-2.135,-0.078,-0.316,0.169,282.455,1143.668,-692.472,-34.599,1.400,-29.839,0.003
0.367,0.199,-2.132,-0.079,-0.316,0.170,282.211,1144.583,-691.313,-36.647,1.531,-31.038,0.003
0.367,0.198,-2.130,-0.079,-0.313,0.173,280.625,1143.546,-693.082,-38.659,1.689,-32.105,0.003
0.366,0.197,-2.127,-0.079,-0.310,0.178,279.527,1141.776,-695.766,-42.737,1.881,-34.127,0.003
0.365,0.195,-2.124,-0.081,-0.305,0.183,279.466,1138.970,-698.145,-44.715,1.820,-35.124,0.004
0.365,0.194,-2.122,-0.081,-0.305,0.184,278.978,1139.336,-697.535,-46.684,1.558,-36.008,0.002
0.365,0.193,-2.119,-0.082,-0.302,0.187,277.757,1138.970,-698.023,-48.617,1.374,-36.988,0.004
0.360,0.192,-2.117,-0.077,-0.299,0.186,272.023,1137.384,-694.973,-52.048,0.621,-38.423,0.002
0.357,0.191,-2.114,-0.077,-0.296,0.184,270.010,1135.920,-691.374,-53.710,0.385,-39.079,0.003
0.353,0.190,-2.111,-0.074,-0.293,0.182,266.227,1134.944,-686.066,-55.040,-0.131,-39.709,0.003
0.348,0.188,-2.108,-0.073,-0.289,0.179,262.689,1132.626,-681.308,-56.449,-0.490,-40.182,0.003
0.341,0.187,-2.104,-0.070,-0.283,0.176,258.358,1128.843,-675.817,-57.700,-0.858,-40.532,0.003
0.330,0.186,-2.101,-0.071,-0.270,0.177,257.931,1117.618,-673.438,-59.862,-1.593,-40.873,0.003
0.325,0.185,-2.098,-0.069,-0.263,0.178,254.087,1112.860,-671.852,-60.588,-1.873,-40.847,0.003
0.322,0.184,-2.095,-0.068,-0.258,0.180,251.647,1109.505,-671.791,-61.384,-2.109,-40.620,0.003
0.316,0.183,-2.090,-0.067,-0.252,0.180,248.048,1105.539,-667.826,-61.796,-2.293,-40.270,0.004
0.309,0.182,-2.088,-0.058,-0.244,0.180,237.860,1099.256,-666.240,-62.277,-2.450,-39.079,0.002
0.308,0.181,-2.084,-0.056,-0.242,0.183,234.078,1098.646,-666.911,-62.146,-2.450,-38.204,0.003
0.307,0.180,-2.082,-0.055,-0.239,0.185,231.088,1097.487,-666.057,-61.831,-2.415,-37.373,0.003
0.308,0.179,-2.078,-0.051,-0.236,0.191,226.147,1096.816,-669.229,-61.384,-2.258,-36.297,0.003
0.297,0.178,-2.075,-0.042,-0.227,0.187,215.288,1088.885,-662.884,-60.256,-1.549,-33.785,0.003
0.292,0.178,-2.072,-0.039,-0.219,0.188,211.079,1083.272,-661.542,-59.739,-0.866,-32.315,0.003
0.281,0.177,-2.069,-0.038,-0.207,0.186,208.089,1072.535,-657.394,-59.354,0.175,-30.697,0.003
0.276,0.176,-2.066,-0.037,-0.197,0.190,206.137,1064.239,-658.431,-58.882,1.313,-29.051,0.003
0.272,0.175,-2.064,-0.029,-0.177,0.204,196.986,1045.266,-670.510,-58.462,2.459,-25.070,0.003
0.273,0.174,-2.061,-0.027,-0.169,0.213,194.668,1038.555,-677.160,-57.875,4.953,-24.247,0.003
0.276,0.173,-2.057,-0.028,-0.161,0.222,193.997,1032.699,-683.016,-57.639,6.047,-23.110,0.004
0.278,0.172,-2.055,-0.028,-0.156,0.228,193.387,1029.527,-686.432,-57.324,7.114,-22.200,0.003
0.279,0.172,-2.053,-0.030,-0.150,0.233,194.485,1023.670,-690.703,-57.123,8.182,-21.657,0.002
0.278,0.171,-2.051,-0.036,-0.141,0.237,200.220,1016.105,-692.106,-56.843,9.582,-21.334,0.003
0.274,0.169,-2.047,-0.040,-0.135,0.236,202.782,1011.225,-688.507,-56.939,9.862,-21.675,0.004
0.276,0.168,-2.045,-0.042,-0.130,0.240,204.551,1007.809,-690.032,-57.210,9.967,-21.964,0.003
0.270,0.167,-2.042,-0.044,-0.126,0.235,205.527,1004.758,-683.504,-57.403,9.477,-22.742,0.003
0.263,0.167,-2.041,-0.046,-0.120,0.230,206.869,999.512,-676.733,-58.077,8.400,-24.632,0.002
0.265,0.165,-2.037,-0.047,-0.117,0.232,207.418,999.146,-676.184,-58.558,7.735,-25.910,0.004
0.266,0.165,-2.036,-0.046,-0.119,0.234,205.405,1001.464,-676.245,-58.934,6.878,-27.231,0.002
0.269,0.164,-2.033,-0.046,-0.119,0.237,204.429,1002.318,-677.892,-59.450,5.915,-28.684,0.003
0.266,0.163,-2.031,-0.043,-0.108,0.239,200.464,992.374,-677.953,-60.229,4.043,-31.712,0.003
0.262,0.162,-2.028,-0.044,-0.096,0.240,199.671,982.735,-675.695,-60.894,2.853,-33.129,0.003
0.252,0.161,-2.026,-0.041,-0.089,0.232,195.644,976.147,-666.728,-61.498,1.829,-34.503,0.002
0.253,0.161,-2.024,-0.035,-0.080,0.237,188.141,968.826,-669.290,-62.058,0.858,-35.711,0.003
0.243,0.160,-2.021,-0.029,-0.072,0.230,180.576,962.360,-659.773,-62.881,0.044,-36.901,0.003
0.233,0.159,-2.017,-0.020,-0.060,0.224,168.680,951.989,-651.049,-64.394,-1.628,-39.097,0.004
0.228,0.158,-2.015,-0.015,-0.056,0.220,162.152,948.878,-645.071,-65.200,-2.336,-39.963,0.003
0.226,0.157,-2.012,-0.017,-0.050,0.220,162.457,944.363,-642.143,-66.066,-3.229,-40.663,0.003
0.221,0.157,-2.009,-0.016,-0.043,0.216,159.468,938.995,-636.469,-66.923,-4.078,-41.083,0.003
0.207,0.156,-2.005,-0.006,-0.029,0.205,146.962,926.855,-621.279,-68.630,-5.600,-41.285,0.004
0.199,0.155,-2.004,-0.005,-0.025,0.198,144.522,923.804,-613.165,-69.566,-6.388,-40.926,0.002
0.192,0.155,-2.001,-0.006,-0.017,0.191,143.546,917.765,-604.197,-70.319,-7.062,-40.436,0.003
0.185,0.154,-1.997,-0.004,-0.013,0.184,139.031,914.776,-594.436,-71.176,-7.727,-39.587,0.003
0.162,0.154,-1.993,0.007,-0.000,0.162,126.281,904.100,-568.448,-73.057,-8.593,-37.172,0.004
0.158,0.154,-1.992,0.010,0.006,0.157,121.157,899.158,-562.042,-73.810,-8.645,-35.518,0.002
0.158,0.153,-1.987,0.012,0.014,0.157,117.435,892.875,-557.467,-74.755,-8.549,-33.908,0.004
0.158,0.153,-1.985,0.012,0.019,0.157,115.483,889.397,-555.820,-75.490,-8.155,-31.904,0.002
